2020-04-19 01:49:16.229296: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-19 01:50:25.717878: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-19 01:54:44.290163: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-19 01:54:51.897801: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/running'
2020-04-19 01:55:02.452031: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/programas'
2020-04-19 01:57:44.144028: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/help'
2020-04-19 01:58:02.108658: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/commands'
2020-04-19 01:58:16.111222: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/ifstatus'
2020-04-19 01:58:25.149953: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/ping'
2020-04-19 01:58:33.212068: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/running'
2020-04-19 01:58:50.193376: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/programas'
2020-04-19 02:39:07.887958: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/test'
2020-04-19 02:39:48.165243: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/test'
2020-04-19 02:41:03.071500: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/test'
2020-04-19 02:42:23.528406: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/test'
2020-04-19 02:42:44.845568: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/test'
2020-04-19 02:42:52.386808: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/commands'
2020-04-19 02:44:13.486373: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/test'
2020-04-19 02:44:47.829972: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/test'
